,ID,name,category,main_category,currency,deadline,goal,launched,pledged,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,Launch_Year
25,1000102741,Matt Cavenaugh & Jenny Powers make their 1st album! ,Music,Music,USD,2011-01-06,10000.0,2010-12-07 23:16:50,15827.0,successful,147,US,15827.0,15827.0,10000.0,2010
107,100044420,PATTY AT THE PARTY - a mumblecore horror feature,Webseries,Film & Video,USD,2010-07-04,5000.0,2010-04-29 07:14:32,50.0,failed,3,US,50.0,50.0,5000.0,2010
119,1000499845,MEMORY LANE  ,Documentary,Film & Video,USD,2010-11-08,20000.0,2010-10-09 22:48:40,270.0,failed,4,US,270.0,270.0,20000.0,2010
132,1000549881,"Brandi Emma promotes her new, 5-song EP because of YOU!  Pre-Order Right Here :)",Indie Rock,Music,USD,2010-07-12,10000.0,2010-06-12 01:44:53,4006.0,failed,44,US,4006.0,4006.0,10000.0,2010
176,1000727191,"Canadian Invasion's ""Choose Your Own Adventure"" Album",Pop,Music,USD,2010-12-20,2000.0,2010-10-26 01:17:27,2036.0,successful,38,US,2036.0,2036.0,2000.0,2010
188,1000777557,Raise funds for the new JonathanGluck and the Wayward Kind album!,Rock,Music,USD,2010-09-19,4000.0,2010-07-30 23:23:15,30.0,failed,2,US,30.0,30.0,4000.0,2010
276,1001230250,Open A.I.R.,Art,Art,USD,2010-07-12,3000.0,2010-05-12 21:45:14,3125.0,successful,55,US,3125.0,3125.0,3000.0,2010
300,1001339505,"""The Get Back"" an adaptation of Wrong Becomes Me",Narrative Film,Film & Video,USD,2010-08-03,9000.0,2010-06-24 13:34:32,171.0,failed,8,US,171.0,171.0,9000.0,2010
449,1002132449,Pentimento a documentary about Rene Gimpel ,Documentary,Film & Video,USD,2011-01-20,22000.0,2010-12-21 05:50:06,0.0,failed,0,US,0.0,0.0,22000.0,2010
497,1002384825,The Undoing Trilogy,Film & Video,Film & Video,USD,2010-12-10,50000.0,2010-10-11 20:07:32,0.0,failed,0,US,0.0,0.0,50000.0,2010
508,100245014,Small Footprints (Canceled),Painting,Art,USD,2011-01-30,7000.0,2010-12-31 07:52:40,50.0,canceled,1,US,50.0,50.0,7000.0,2010
527,1002524565,THE WOODS,Film & Video,Film & Video,USD,2010-11-22,5000.0,2010-09-23 03:48:43,0.0,failed,0,US,0.0,0.0,5000.0,2010
584,1002810193,Splendid Entities: The Catalog Project,Photography,Photography,USD,2010-08-20,2500.0,2010-07-05 07:56:00,4331.0,successful,47,US,4331.0,4331.0,2500.0,2010
606,1002910237,Choose Your Fate - The film that puts YOU in charge,Film & Video,Film & Video,USD,2010-08-16,3500.0,2010-05-25 15:49:22,547.8,failed,10,US,547.8,547.8,3500.0,2010
633,1003036680,Legendary Steamboat Springs Band records an album-- after 30 years!,Country & Folk,Music,USD,2010-08-01,5500.0,2010-07-14 15:13:31,1310.0,failed,14,US,1310.0,1310.0,5500.0,2010
686,1003365384,WE ARE NOT ALONE,Shorts,Film & Video,USD,2010-10-17,3000.0,2010-09-17 20:36:22,265.0,failed,7,US,265.0,265.0,3000.0,2010
747,1003596506,"New Madysin Hatter EP, To Be Titled ""Pretty Little Fool""",Pop,Music,USD,2010-12-01,1800.0,2010-09-21 01:30:38,2179.0,successful,30,US,2179.0,2179.0,1800.0,2010
798,1003900292,HOMEBOUND the film...Transforming the image of Latinos.,Documentary,Film & Video,USD,2011-01-29,150000.0,2010-12-29 07:38:10,23098.0,failed,135,US,23098.0,23098.0,150000.0,2010
